,State,Soil,Crop,Variety,Season,Available-N(kg/ha),Available-P(kg/ha),Available-K(kg/ha),Required-N(kg/ha),Required-P(kg/ha),Required-K(kg/ha),Yeild(q/ha)
0,Andhra Pradesh,0,Rice,Mashuri,Kharif,150.0,5,150.0,115.0,144,52.0,50.0
1,Andhra Pradesh,0,Rice,Mashuri,Kharif,150.0,5,150.0,133.0,144,60.0,55.0
2,Andhra Pradesh,0,Rice,Mashuri,Kharif,175.0,10,200.0,102.0,128,42.0,50.0
3,Andhra Pradesh,0,Rice,Mashuri,Kharif,175.0,10,200.0,121.0,128,50.0,55.0
4,Andhra Pradesh,0,Rice,Mashuri,Kharif,200.0,15,250.0,90.0,112,33.0,50.0
5,Andhra Pradesh,0,Rice,Mashuri,Kharif,200.0,15,250.0,108.0,112,40.0,55.0
6,Andhra Pradesh,0,Rice,Mashuri,Kharif,225.0,20,300.0,77.0,96,23.0,50.0
7,Andhra Pradesh,0,Rice,Mashuri,Kharif,225.0,20,300.0,96.0,96,31.0,55.0
8,Andhra Pradesh,0,Rice,Mashuri,Kharif,250.0,25,350.0,65.0,80,14.0,50.0
9,Andhra Pradesh,0,Rice,Mashuri,Kharif,250.0,25,350.0,83.0,80,22.0,55.0
10,Andhra Pradesh,0,Rice,Mashuri,Kharif,275.0,30,400.0,52.0,64,4.0,50.0
11,Andhra Pradesh,0,Rice,Mashuri,Kharif,275.0,30,400.0,71.0,65,12.0,55.0
12,Andhra Pradesh,0,Rice,Mashuri,Kharif,300.0,35,450.0,40.0,49,3.0,50.0
13,Andhra Pradesh,0,Rice,Mashuri,Kharif,300.0,35,450.0,58.0,49,10.0,55.0
14,Andhra Pradesh,0,Rice,Mashuri,Kharif,325.0,40,500.0,27.0,33,2.0,50.0
15,Andhra Pradesh,0,Rice,Mashuri,Kharif,325.0,40,500.0,46.0,33,10.0,55.0
16,Andhra Pradesh,0,Rice,Mashuri,Kharif,350.0,45,550.0,14.0,17,2.0,50.0
17,Andhra Pradesh,0,Rice,Mashuri,Kharif,350.0,45,550.0,33.0,17,10.0,55.0
18,Andhra Pradesh,0,Rice,Mashuri,Kharif,375.0,50,600.0,2.0,15,2.0,50.0
19,Andhra Pradesh,0,Rice,Mashuri,Kharif,375.0,50,600.0,21.0,15,10.0,55.0
20,Andhra Pradesh,0,Rice,Mashuri,Kharif,400.0,55,650.0,0.0,15,2.0,50.0
21,Andhra Pradesh,0,Rice,Mashuri,Kharif,400.0,55,650.0,8.0,15,10.0,55.0
22,Andhra Pradesh,1,Rice,Pothana,Kharif,150.0,5,100.0,123.0,87,112.0,50.0
23,Andhra Pradesh,1,Rice,Pothana,Kharif,150.0,5,100.0,161.0,107,142.0,60.0
24,Andhra Pradesh,1,Rice,Pothana,Kharif,175.0,10,150.0,112.0,77,94.0,50.0
25,Andhra Pradesh,1,Rice,Pothana,Kharif,175.0,10,150.0,150.0,96,124.0,60.0
