,Crop,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry)
0,Acorn,lb of fruit,1,27.9,1.364771151,0.109570042,0.747572816
1,"Alfalfa + Orchardgrass, for hay",ton,2000,9.7,2.479714286,0.267857143,0
2,"Alfalfa + Orchardgrass, for hay (cut 1)",ton,2000,7.95,2.144,0.2,1.49
3,"Alfalfa + Smooth Brome, for green chop",ton,2000,77.63,3.322074074,0.310555556,2.8
4,"Alfalfa + Smooth Brome, for hay",ton,2000,11.58,2.41770852,0.271053812,1.897746637
5,"Alfalfa + Smooth Brome, for hay (cut 1)",ton,2000,10.1,2.192,0.295,1.4
6,"Alfalfa + Smooth Brome, for hay (cut 2)",ton,2000,10.2,2.192,0.21,0
7,"Alfalfa + Timothy, for green chop (50% alfalfa)",ton,2000,78.08,3.364748858,0.368824201,2.239360731
8,"Alfalfa + Timothy, for hay",ton,2000,10.37,2.172886905,0.211071429,2.16
9,"Alfalfa + Timothy, for hay (cut 1)",ton,2000,9.8,1.792,0.14,0
10,"Alfalfa + Timothy, for hay (cut 2)",ton,2000,9,2.8,0.21,0
11,"Alfalfa, for green chop",ton,2000,76.5,3.206196721,0.27897541,2.608032787
12,"Alfalfa, for green chop (early bloom)",ton,2000,76.18,3.351777778,0.292777778,2.717777778
13,"Alfalfa, for green chop (early bloom, cut 1)",ton,2000,76.1,2.952,0.31,3.1
14,"Alfalfa, for green chop (early bloom, cut 2)",ton,2000,74.6,2.864,0.38,2.95
15,"Alfalfa, for green chop (early bloom, cut 3)",ton,2000,74.35,3.288,0,0
16,"Alfalfa, for green chop (full bloom)",ton,2000,75.05,2.796419204,0.270739477,2.890978261
17,"Alfalfa, for green chop (full bloom, cut 1)",ton,2000,75.3,2.528,0.4,2.88
18,"Alfalfa, for green chop (full bloom, cut 2)",ton,2000,71.4,2.256,0,0
19,"Alfalfa, for green chop (full bloom, cut 3)",ton,2000,71.2,2.208,0,0
20,"Alfalfa, for green chop (mid bloom)",ton,2000,75.08,3.158580237,0.29166996,2.713478261
21,"Alfalfa, for green chop (mid bloom, cut 1)",ton,2000,77.9,2.496,0,0
22,"Alfalfa, for green chop (mid bloom, cut 2)",ton,2000,76.8,0,0.43,3.25
23,"Alfalfa, for green chop (pre bloom)",ton,2000,78.34,3.487117588,0.343919598,2.267952261
24,"Alfalfa, for green chop (pre bloom, cut 1)",ton,2000,82.9,3.488,0.39,3.4
25,"Alfalfa, for green chop (pre bloom, cut 2)",ton,2000,76.95,3.376,0.375,3.39
26,"Alfalfa, for green chop (pre bloom, cut 3)",ton,2000,76.8,3.92,0,0
27,"Alfalfa, for hay",ton,2000,9.65,2.78879558,0.261298343,2.119198895
28,"Alfalfa, for hay (cut 1)",ton,2000,9.9,2.616,0.35,2.48
29,"Alfalfa, for hay (cut 2)",ton,2000,9.35,2.856,0.285,1.92
30,"Alfalfa, for hay (cut 3)",ton,2000,10.3,2.968,0.19,2.47
31,"Alfalfa, for hay (early bloom)",ton,2000,10.58,3.054446409,0.228798343,2.344198895
32,"Alfalfa, for hay (early bloom, cut 1)",ton,2000,9.3,2.736,0.255,2.465
33,"Alfalfa, for hay (early bloom, cut 2)",ton,2000,12,3.168,0.255,2.54
34,"Alfalfa, for hay (early bloom, cut 3)",ton,2000,12.95,3.248,0.27,2.84
35,"Alfalfa, for hay (full bloom)",ton,2000,11.12,2.618647514,0.238273481,1.764198895
36,"Alfalfa, for hay (full bloom, cut 1)",ton,2000,15.25,2.392,0.22,1.99
37,"Alfalfa, for hay (full bloom, cut 2)",ton,2000,12.7,2.592,0,0
38,"Alfalfa, for hay (full bloom, cut 3)",ton,2000,12.35,1.96,0,0
39,"Alfalfa, for hay (mid bloom)",ton,2000,10.76,2.805646409,0.251298343,1.779198895
40,"Alfalfa, for hay (mid bloom, cut 1)",ton,2000,11.05,2.424,0.25,0
41,"Alfalfa, for hay (mid bloom, cut 2)",ton,2000,9.2,2.736,0.31,3.25
42,"Alfalfa, for hay (mid bloom, cut 3)",ton,2000,11.6,3.008,0,0
43,"Alfalfa, for hay (pre bloom)",ton,2000,11.34,3.388963536,0.336160221,2.436160221
44,"Alfalfa, for hay (pre bloom, cut 1)",ton,2000,17.4,2.528,0.29,2.8
45,"Alfalfa, for hay (pre bloom, cut 2)",ton,2000,14,2.496,0,0
46,"Alfalfa, for hay (pre bloom, cut 3)",ton,2000,15.4,3.168,0,0
47,"Alfalfa, for hay (late vegetative, cut 1)",ton,2000,12.4,3.184,0.28,2.8
48,"Alfalfa, for hay (late vegetative, cut 2)",ton,2000,13,3.216,0.37,3.39
49,"Alfalfa, for hay (late vegetative, cut 3)",ton,2000,14,3.056,0.22,0
50,"Alfalfa, for seed",cwt,100,11.7,6.014795017,0,0
51,"Alfalfa, for silage (tenth bloom, cut 2)",ton,2000,75.9,3.34,0.38,2.88
52,Almonds (without shell),lb of seed,1,4.42,3.339610797,0.544046872,0.765850596
53,Alomond (with shell),lb of fruit,1,15,3.3,0,0
54,Apple,lb of fruit ,1,81.78,0.338793093,0.051779714,0.747809583
55,Apricot,lb of fruit ,1,86.35,1.641025641,0.139194139,2.168498168
56,"Artichoke-Globe, for bud",lb of fruit ,1,83,2.541176471,0.509411765,2
57,"Artichoke-Jerusalum, for tuber",lb of tuber,1,80.07,1.52,0.303333333,2.016666667
58,"Asparagus-Green, for shoot or spear (immature)",lb of stem ,1,92,5.55,0.69,0
